name,known_taxon,n_blocks,dom_taxon,dom_frac,uncond_match,resolved,conf_dom_taxon,conf_frac,conf_match,mean_bestJ
PN10_SID865,Zh,3,NA,0.828,False,False,,0.0,,0.401
PN10_SID866,Zh,1,Zn,1.0,False,False,,0.0,,0.515
PN10_SID867,Zv,6,Zv,0.985,True,True,Zv,0.927,True,0.404
PN10_SID868,Zv,11,Zv,0.994,True,True,Zv,0.957,True,0.496
PN10_SID869,Zv,5,Zv,1.0,True,False,,0.0,,0.407
PN10_SID870,Zv,17,Zv,0.97,True,True,Zv,1.0,True,0.568
PN10_SID871,Zv,11,Zv,0.9,True,True,Zv,0.931,True,0.484
PN10_SID872,Zv,15,Zv,0.929,True,True,Zv,1.0,True,0.489
PN10_SID873,Zv,18,Zv,0.929,True,True,Zv,1.0,True,0.454
PN10_SID874,Zv,19,Zv,0.983,True,True,Zv,1.0,True,0.46
PN10_SID875,Zv,12,Zv,0.994,True,True,Zv,1.0,True,0.5
PN10_SID876,Zv,3,Zv,1.0,True,True,Zv,1.0,True,0.49
PN10_SID877,Zv,4,Zv,0.723,True,True,Zv,1.0,True,0.327
PN10_SID878,Zv,19,Zv,0.932,True,True,Zv,0.967,True,0.505
PN10_SID879,Zv,22,Zv,0.983,True,True,Zv,0.953,True,0.578
PN10_SID880,Zv,20,Zv,0.946,True,True,Zv,1.0,True,0.633
PN10_SID881,Zv,13,Zv,0.932,True,True,Zv,0.916,True,0.61
PN10_SID882,Zv,15,Zv,0.991,True,True,Zv,1.0,True,0.497
PN10_SID883,Zv,1,Zv,1.0,True,False,,0.0,,0.2
PN10_SID884,Zv,8,Zv,1.0,True,True,Zv,1.0,True,0.504
PN10_SID885,Zv,13,Zv,1.0,True,True,Zv,1.0,True,0.589
PN10_SID886,Zv,3,Zv,1.0,True,True,Zv,1.0,True,0.533
PN10_SID887,Zv,20,Zv,0.97,True,True,Zv,1.0,True,0.585
PN10_SID888,Zv,22,Zv,0.965,True,True,Zv,0.975,True,0.65
PN10_SID889,Zv,11,Zv,1.0,True,True,Zv,1.0,True,0.406
PN10_SID890,Zv,13,Zv,0.992,True,True,Zv,0.983,True,0.627
PN10_SID891,Zv,16,Zv,1.0,True,True,Zv,1.0,True,0.576
PN10_SID892,Zv,10,Zv,1.0,True,True,Zv,1.0,True,0.445
PN10_SID894,Zv,13,Zv,0.994,True,True,Zv,1.0,True,0.491
PN10_SID895,Zv,16,Zv,0.988,True,True,Zv,1.0,True,0.597
PN10_SID896,Zv,17,Zv,0.936,True,True,Zv,1.0,True,0.67
PN10_SID897,Zl,8,Zl,0.663,True,True,Zl,1.0,True,0.667
PN10_SID898,Zl,4,Zl,0.676,True,True,Zn,1.0,False,0.467
PN10_SID899,Zl,3,Zn,0.802,False,False,,0.0,,0.746
PN10_SID900,Zl,13,Zv,0.494,False,True,Zv,0.888,False,0.412
PN10_SID901,Zl,11,Zv,0.897,False,True,Zv,0.819,False,0.571
PN10_SID902,Zl,9,Zn,0.536,False,False,,0.0,,0.534
PN10_SID903,Zl,6,Zl,0.904,True,True,Zv,1.0,False,0.602
PN10_SID904,Zl,9,Zl,0.88,True,True,Zn,0.515,False,0.595
PN10_SID905,Zl,5,Zl,0.528,True,False,,0.0,,0.468
PN10_SID906,Zl,9,Zn,0.784,False,True,Zn,1.0,False,0.687
PN10_SID908,Zl,14,Zn,0.581,False,True,Zn,0.913,False,0.493
PN10_SID909,Zl,6,Zn,0.829,False,True,Zn,1.0,False,0.609
PN10_SID910,Zl,9,Zn,0.557,False,True,Zl,1.0,True,0.581
PN10_SID911,Zl,5,Zn,0.568,False,True,Zn,1.0,False,0.676
PN10_SID912,Zl,10,Zn,0.603,False,True,Zl,1.0,True,0.628
PN10_SID913,Zl,7,Zl,0.597,True,True,Zn,1.0,False,0.652
PN10_SID914,Zl,11,Zl,0.731,True,True,Zl,0.529,True,0.554
PN10_SID915,Zl,8,Zl,0.623,True,False,,0.0,,0.665
PN10_SID916,Zl,10,Zl,0.871,True,False,,0.0,,0.611
PN10_SID917,Zl,6,Zn,0.604,False,True,Zl,0.899,True,0.397
PN10_SID918,Zl,8,Zn,0.695,False,True,Zl,1.0,True,0.446
PN10_SID919,Zl,8,Zl,0.889,True,True,Zn,1.0,False,0.619
PN10_SID920,Zl,10,Zn,0.904,False,True,Zn,1.0,False,0.542
PN10_SID921,Zl,3,Zl,0.823,True,False,,0.0,,0.531
PN10_SID922,Zl,9,Zl,0.904,True,True,Zl,1.0,True,0.636
PN10_SID923,Zl,2,Zn,0.646,False,True,Zn,1.0,False,0.586
PN10_SID924,Zl,8,Zl,0.554,True,True,Zl,1.0,True,0.542
PN10_SID925,Zl,3,Zl,0.561,True,False,,0.0,,0.511
PN10_SID926,Zl,6,Zn,0.929,False,True,Zn,0.587,False,0.657
PN10_SID927,Zl,11,Zn,0.506,False,True,Zl,0.784,True,0.574
PN10_SID928,Zl,4,Zl,0.706,True,True,Zn,1.0,False,0.707
PN10_SID929,Zl,1,Zl,1.0,True,False,,0.0,,0.807
PN10_SID930,Zl,8,Zl,0.81,True,True,Zl,0.646,True,0.551
PN10_SID931,Zl,10,Zl,0.678,True,True,Zl,0.759,True,0.546
PN10_SID932,Zl,5,Zl,0.653,True,True,Zn,0.62,False,0.545
PN10_SID933,Zl,2,Zn,0.825,False,False,,0.0,,0.54
PN10_SID934,Zl,4,Zl,1.0,True,False,,0.0,,0.53
PN10_SID935,Zl,8,Zl,0.512,True,False,,0.0,,0.433
