taxon,acc,J,margin,mb,chr,start,end,nsnp,name,known
Zx,5F12,0.42857142857142855,0.04395604395604391,4.951841,1,665043,5616884,37,PN10_SID865,Zh
NA,6G7,0.32345013477088946,0.013105307184682558,117.156419,3,57930784,175087203,777,PN10_SID865,Zh
Zl,Ame21877,0.45,0.01521739130434785,19.299716,7,2163861,21463577,98,PN10_SID865,Zh
Zn,6F7,0.5151515151515151,0.006954793840039719,11.611929,2,4904354,16516283,118,PN10_SID866,Zh
Zv,5C5,0.3389830508474576,0.04390108363434286,12.382244,2,225500293,237882537,139,PN10_SID867,Zv
Zx,6C6,0.6363636363636364,0.08080808080808077,2.3965,7,84081,2480581,27,PN10_SID867,Zv
Zv,TIL17,0.35294117647058826,0.019607843137254943,20.271624,7,140639237,160910861,112,PN10_SID867,Zv
Zv,5E2,0.38461538461538464,0.046153846153846156,13.176301,7,170804438,183980739,172,PN10_SID867,Zv
Zv,5E6,0.4074074074074074,0.0582010582010582,30.255634,9,1566009,31821643,158,PN10_SID867,Zv
Zv,TIL14,0.3049645390070922,0.061441222944916024,85.603684,9,62471867,148075551,523,PN10_SID867,Zv
Zv,5C4,0.5925925925925926,0.19259259259259254,4.023961,1,39318025,43341986,59,PN10_SID868,Zv
Zv,TIL14,0.27692307692307694,0.05817307692307694,48.491635,2,17267430,65759065,484,PN10_SID868,Zv
Zv,6E4,0.2847571189279732,0.03556097744887349,124.479292,2,73872805,198352097,1545,PN10_SID868,Zv
Zv,5C3,0.6774193548387096,0.3244781783681214,10.09662,4,182337096,192433716,98,PN10_SID868,Zv
Zv,5B4,0.5060240963855421,0.09029375930689043,15.86947,4,192910324,208779794,186,PN10_SID868,Zv
Zv,5B4,0.875,0.23863636363636365,2.155096,4,209570062,211725158,24,PN10_SID868,Zv
Zv,6D1,0.5,0.07534246575342468,16.278857,4,212362117,228640974,167,PN10_SID868,Zv
Zv,5C10,0.29577464788732394,0.007895860008536038,20.071468,4,229854315,249925783,160,PN10_SID868,Zv
Zv,5H7,0.26256983240223464,0.042897701254693665,100.457485,5,63487465,163944950,889,PN10_SID868,Zv
Zv,5D12,0.5555555555555556,0.022222222222222254,9.706499,9,144659427,154365926,43,PN10_SID868,Zv
Zx,5H2,0.625,0.125,2.164739,10,150117933,152282672,29,PN10_SID868,Zv
Zv,6C10,0.35,0.06153846153846154,20.573968,1,284650541,305224509,166,PN10_SID869,Zv
Zv,5B2,0.36904761904761907,0.08495670995670995,21.927107,2,216945665,238872772,229,PN10_SID869,Zv
Zv,5C7,0.6875,0.02083333333333337,4.006402,2,239656557,243662959,33,PN10_SID869,Zv
Zv,5B2,0.257396449704142,0.008416857867407312,84.818558,5,20055090,104873648,740,PN10_SID869,Zv
Zv,6D7,0.3699421965317919,0.022791937464434364,53.323844,5,115322285,168646129,402,PN10_SID869,Zv
Zv,TIL07,0.45454545454545453,0.09740259740259738,2.157612,1,306172913,308330525,40,PN10_SID870,Zv
Zv,Teosinte,0.4782608695652174,0.09284420289855072,19.235538,2,18760167,37995705,235,PN10_SID870,Zv
Zv,6H9,0.42105263157894735,0.0848457350272232,25.372332,2,218290627,243662959,258,PN10_SID870,Zv
Zx,6A2,0.6923076923076923,0.0,2.334698,4,508312,2843010,29,PN10_SID870,Zv
Zx,5B9,0.5,0.0,1.556531,4,3326044,4882575,20,PN10_SID870,Zv
Zv,TIL01,0.36,0.08499999999999996,9.816033,5,216340236,226156269,86,PN10_SID870,Zv
Zv,5E2,0.4368932038834951,0.059534713317457355,30.96911,7,3158563,34127673,259,PN10_SID870,Zv
Zn,RIN1,0.6363636363636364,0.020979020979020935,3.158908,7,39528294,42687202,35,PN10_SID870,Zv
Zv,6F11,0.7058823529411765,0.31605184446660023,10.057057,7,43949113,54006170,112,PN10_SID870,Zv
Zv,6H5,1.0,0.1428571428571429,4.422948,7,74468473,78891421,51,PN10_SID870,Zv
Zv,5B5,0.7058823529411765,0.17647058823529416,3.092932,7,80702561,83795493,43,PN10_SID870,Zv
Zv,TIL10,0.47058823529411764,0.13725490196078433,4.582544,7,85649221,90231765,73,PN10_SID870,Zv
Zv,6C12,0.9523809523809523,0.10238095238095235,3.79984,7,90232643,94032483,24,PN10_SID870,Zv
Zv,5C1,0.6666666666666666,0.08333333333333326,6.136773,7,94086138,100222911,41,PN10_SID870,Zv
Zv,6D4,0.4219409282700422,0.04275877213621321,68.315578,7,101682187,169997765,538,PN10_SID870,Zv
Zv,5C3,0.2937062937062937,0.0491019771595311,34.053035,8,28293796,62346831,353,PN10_SID870,Zv
Zv,5B2,0.45714285714285713,0.062406015037593965,7.925282,8,88200273,96125555,87,PN10_SID870,Zv
Zv,6H1,0.4875,0.08413865546218485,22.92173,1,239932023,262853753,254,PN10_SID871,Zv
Zv,5B3,0.4489795918367347,0.05314625850340138,13.00203,1,295425772,308427802,146,PN10_SID871,Zv
Zx,6B7,0.4,0.008695652173913049,7.951888,3,5620622,13572510,59,PN10_SID871,Zv
Zv,TIL14,0.2898550724637681,0.04146797568957458,55.847875,3,14928508,70776383,671,PN10_SID871,Zv
Zv,5C6,0.27689243027888444,0.010780164166618311,91.568429,3,80849360,172417789,1100,PN10_SID871,Zv
NA,6G12,0.46511627906976744,0.010570824524312905,14.783228,3,173528046,188311274,125,PN10_SID871,Zv
Zv,5C11,0.45,0.054166666666666696,11.003097,4,238922686,249925783,100,PN10_SID871,Zv
Zv,6G11,1.0,0.25,2.346126,7,138284110,140630236,24,PN10_SID871,Zv
Zx,5B7,0.5625,0.09583333333333333,4.591837,7,161565268,166157105,46,PN10_SID871,Zv
Zv,5B6,0.3769230769230769,0.015578539107950873,37.410639,8,139734333,177144972,305,PN10_SID871,Zv
Zv,6D10,0.5625,0.0625,12.380433,9,1566009,13946442,90,PN10_SID871,Zv
Zd,RRA-14,0.7777777777777778,0.02777777777777779,2.775285,1,25214053,27989338,23,PN10_SID872,Zv
Zv,5A9,0.43410852713178294,0.06568747450020401,23.979198,1,28618192,52597390,307,PN10_SID872,Zv
Zv,5F11,0.7777777777777778,0.07777777777777783,5.537816,1,52712682,58250498,45,PN10_SID872,Zv
Zv,6H5,0.475,0.05639534883720926,11.048019,1,58336521,69384540,96,PN10_SID872,Zv
Zv,6F11,0.42038216560509556,0.07401345052129665,33.01346,1,78746123,111759583,386,PN10_SID872,Zv
Zv,TIL16,0.39097744360902253,0.11872613470849896,33.634336,1,117814203,151448539,417,PN10_SID872,Zv
Zv,5B5,0.2085889570552147,0.008588957055214702,26.819547,1,234020699,260840246,363,PN10_SID872,Zv
Zv,5F11,0.4318181818181818,0.05681818181818182,12.997943,1,295425772,308423715,139,PN10_SID872,Zv
Zx,6D11,0.75,0.022727272727272707,2.247503,4,237176249,239423752,29,PN10_SID872,Zv
Zx,5E8,0.45454545454545453,0.0491400491400491,9.684039,4,240241744,249925783,83,PN10_SID872,Zv
Zv,parviglumis_2B,0.5,0.026315789473684237,3.399923,5,4272372,7672295,54,PN10_SID872,Zv
Zv,5H10,0.3425925925925926,0.09441741011084079,22.570617,7,90154029,112724646,278,PN10_SID872,Zv
Zv,6H8,0.3793103448275862,0.03448275862068961,4.090359,7,123925034,128015393,54,PN10_SID872,Zv
Zv,TIL01,0.5714285714285714,0.12698412698412698,3.830875,9,147030154,150861029,27,PN10_SID872,Zv
Zv,6E7,0.42105263157894735,0.06105263157894736,10.100333,9,152446879,162547212,73,PN10_SID872,Zv
Zv,6D6,0.56,0.008979591836734802,9.974813,1,11854577,21829390,100,PN10_SID873,Zv
Zv,5C5,0.3375796178343949,0.02790219847955616,48.779744,3,157536587,206316331,430,PN10_SID873,Zv
Zx,6B5,0.30158730158730157,0.01800521203506278,7.455709,4,9778283,17233992,121,PN10_SID873,Zv
Zx,5E11,0.3409090909090909,0.014822134387351749,10.360623,4,17383881,27744504,118,PN10_SID873,Zv
Zv,6G11,0.2783882783882784,0.02765941541451744,86.840065,4,28439578,115279643,740,PN10_SID873,Zv
Zv,5D12,0.4666666666666667,0.029166666666666674,4.133758,4,115842398,119976156,36,PN10_SID873,Zv
